A,10A55
B,10A56
C,GND
D,10A58
E,GND
F,11A147
G,11A17
H,11A18
J,11A56
K,11A19
L,11A20
M,11A57
N,11A58
P,11A23
R,11A24
S,11A25
T,11A26
U,11A73
V,11A74
W,11A27
X,11A28
Y,11A29
Z,11A30
a,11A75
b,11A31
c,11A32
d,11A33
e,11A34
f,11A76
g,11A84
h,11A85
i,11A91
j,11A92
k,11A93
m,11A35
n,11A36
p,11A37
q,11A94
r,11A109
s,11A110
t,11A111
u,11A112
v,11A118
w,11A38
x,11A41
y,11A42
z,11A43
AA,GND
BB,GND
CC,
DD,
EE,GND
FF,
GG,
HH,GND
