A,10A137
B,GND
C,10A139
D,GND
E,10A140
F,GND
G,10A142
H,GND
J,10A143
K,GND
L,10A145
M,GND
N,10A54
P,GND
R,10A57
S,GND
T,10A60
U,GND
V,10A63
W,GND
X,10A26
Y,GND
Z,10A28
a,GND
b,10A29
c,GND
d,10A31
e,GND
f,10A32
g,GND
h,10A34
i,GND
j,10A35
k,GND
m,10A37
n,GND
p,10A38
q,GND
r,10A40
s,GND
t,10A41
u,GND
v,10A43
w,GND
x,10A44
y,GND
z,10A46
AA,GND
BB,10A47
CC,10A49
DD,unused?
EE,unused?
FF,10A50
GG,10A52
HH,10A53
