A,11DP2 bit 31
B,11DP2 bit 30
C,11DP2 bit 29
D,11DP2 bit 28
E,11DP2 bit 27
F,11DP2 bit 26
G,11DP2 bit 25
H,11DP2 bit 24
J,11DP2 bit 23
K,11DP2 bit 22
L,11DP2 bit 21
M,11DP2 bit 20
N,11DP2 bit 19
P,11DP2 bit 18
R,11DP2 bit 17
S,11DP2 bit 16
T,11DP2 bit 15
U,11DP2 bit 14
V,11DP2 bit 13
W,11DP2 bit 12
X,11DP2 bit 11
Y,11DP2 bit 10
Z,11DP2 bit 9
a,11DP2 bit 8
b,11DP2 bit 7
c,11DP2 bit 6
d,11DP2 bit 5
e,11DP2 bit 4
f,11DP2 bit 3
g,11DP2 bit 2
h,11DP2 bit 1
i,11DP2 bit 0
j,
k,11DP13 bit 7
m,11DP13 bit 6
n,11DP13 bit 5
p,11DP13 bit 4
q,11DP13 bit 3
r,11DP13 bit 2
s,11DP13 bit 1
t,11DP13 bit 0
u,11DP14 bit 7
v,11DP14 bit 6
w,11DP14 bit 5
x,11DP14 bit 4
y,
z,11DP14 bit 3
AA,
BB,
CC,11DP14 bit 2
DD,11DP14 bit 1
EE,11DP14 bit 0
FF,
GG,
HH,
