A,,?
B,GND,
C,GND,
D,11DP3 bit 7,
E,11DP3 bit 6,
F,11DP3 bit 5,
G,11DP3 bit 4,
H,11DP3 bit 3,
J,11DP3 bit 2,
K,11DP3 bit 1,
L,11DP3 bit 0,
M,11DP4 bit 7,
N,11DP4 bit 6,
P,11DP4 bit 5,
R,11DP4 bit 4,
S,11DP4 bit 3,
T,11DP4 bit 2,
U,GND,
V,GND,
W,GND,
X,11DP4 bit 1,
Y,11DP4 bit 0,
Z,11DP5 bit 7,
a,GND,
b,11DP5 bit 6,
c,11DP5 bit 5,
d,11DP5 bit 4,
e,11DP5 bit 3,
f,11DP5 bit 2,
g,11DP5 bit 1,
h,11DP5 bit 0,
i,11DP6 bit 7,
j,11DP6 bit 6,
k,11DP6 bit 5,
m,11DP6 bit 4,
n,11DP6 bit 3,
p,11DP6 bit 2,
q,11DP6 bit 1,
r,11DP6 bit 0,
s,11DP7 bit 7,
t,11DP7 bit 6,
u,11DP7 bit 5,
v,11DP7 bit 4,
w,11DP7 bit 3,
x,11DP7 bit 2,
y,11DP7 bit 1,
z,11DP7 bit 0,
AA,11DP8 bit 7,
BB,11DP8 bit 6,
CC,11DP8 bit 5,
DD,11DP8 bit 4,
EE,11DP8 bit 3,
FF,11DP8 bit 2,
GG,11DP8 bit 1,
HH,11DP8 bit 0,
